R,a,delta,F,R_a,delta_a,F_Eah
3,30,20.90867508,5.200842702,0.1,0.069695584,0.000544733
3,30,21.3935185,7.043108765,0.1,0.071311728,0.000737691
3,30,21.870119,9.698148888,0.1,0.072900397,0.001015779
3,30,22.36654254,10.26238315,0.1,0.074555142,0.001074876
3,30,22.87551438,9.437495018,0.1,0.076251715,0.000988478
3,30,23.3859915,7.745943449,0.1,0.077953305,0.000811306
3,30,23.89282464,7.190031471,0.1,0.079642749,0.00075308
3,30,24.39025399,7.163682392,0.1,0.081300847,0.00075032
3,30,24.87771986,8.584806398,0.1,0.082925733,0.000899168
3,30,25.3562726,11.41425875,0.1,0.084520909,0.001195523
3,30,25.84451275,13.74899047,0.1,0.086148376,0.001440062
3,30,26.34772558,13.0970441,0.1,0.087825752,0.001371777
3,30,26.86366018,11.06963504,0.1,0.089545534,0.001159428
3,30,27.36318655,10.4096408,0.1,0.091210622,0.0010903
3,30,27.86743649,9.980430148,0.1,0.092891455,0.001045345
3,30,28.35330521,11.73716347,0.1,0.094511017,0.001229344
3,30,28.83380631,15.31811068,0.1,0.096112688,0.001604411
3,30,29.32509726,17.23560152,0.1,0.097750324,0.001805248
3,30,29.8266441,16.85114266,0.1,0.099422147,0.00176498
3,30,30.33911123,13.91611718,0.1,0.101130371,0.001457567
3,30,30.8378592,14.05887739,0.1,0.102792864,0.001472519
3,30,31.33862295,14.21206387,0.1,0.104462077,0.001488564
3,30,31.82312289,16.84526594,0.1,0.106077076,0.001764364
3,30,32.30283698,20.9064509,0.1,0.107676123,0.00218973
3,30,32.80199794,21.44131065,0.1,0.109339993,0.002245751
3,30,33.31607473,18.55016467,0.1,0.111053582,0.001942934
3,30,33.8189128,17.5697736,0.1,0.112729709,0.001840249
3,30,34.31412491,18.36935484,0.1,0.114380416,0.001923996
3,30,34.80197823,20.98497071,0.1,0.116006594,0.002197955
3,30,35.2854051,25.10174048,0.1,0.117618017,0.002629143
3,30,35.78131755,25.99913308,0.1,0.119271059,0.002723135
3,30,36.29553621,22.24496157,0.1,0.120985121,0.002329925
3,30,36.79600913,22.31205417,0.1,0.122653364,0.002336953
3,30,37.29207686,23.23795321,0.1,0.124306923,0.002433931
3,30,37.78033125,26.77102591,0.1,0.125934438,0.002803983
3,30,38.26364223,31.30113453,0.1,0.127545474,0.003278464
3,30,38.77053429,29.06144837,0.1,0.129235114,0.00304388
3,30,39.27866229,26.44552464,0.1,0.130928874,0.00276989
3,30,39.77678341,27.47698958,0.1,0.132589278,0.002877925
3,30,40.26884676,30.37217108,0.1,0.134229489,0.003181165
3,30,40.75291729,35.0351784,0.1,0.135843058,0.003669566
3,30,41.25178796,35.37458825,0.1,0.13750596,0.003705115
3,30,41.76139073,31.3566359,0.1,0.139204636,0.003284277
3,30,42.25774394,32.26477872,0.1,0.140859146,0.003379396
3,30,42.74992238,34.9093843,0.1,0.142499741,0.00365639
3,30,43.23701134,39.7700357,0.1,0.144123371,0.004165492
3,30,43.73346891,41.32130949,0.1,0.14577823,0.004327972
3,30,44.24279191,37.12756893,0.1,0.147475973,0.003888722
3,30,44.7433802,37.25068093,0.1,0.149144601,0.003901616
3,30,45.23244014,40.95048651,0.1,0.1507748,0.004289132
3,30,45.72233095,46.50759645,0.1,0.15240777,0.004871181
3,30,46.22209021,46.02065035,0.1,0.154073634,0.004820178
3,30,46.73003173,42.27785435,0.1,0.155766772,0.00442816
3,30,47.22789964,43.61558068,0.1,0.157426332,0.004568272
3,30,47.71593213,48.82029313,0.1,0.159053107,0.005113411
3,30,48.20635521,53.15419081,0.1,0.160687851,0.005567341
3,30,48.71338816,50.14230294,0.1,0.162377961,0.005251878
3,30,49.21647146,47.77954672,0.1,0.164054905,0.005004404
3,30,49.70706793,52.49910003,0.1,0.165690226,0.005498727
3,30,50.19660719,57.32086222,0.1,0.167322024,0.006003756
3,30,50.69345608,59.19186054,0.1,0.168978187,0.006199724
3,30,51.20355493,53.80768937,0.1,0.170678516,0.005635788
3,30,51.70031848,56.18769678,0.1,0.172334395,0.005885069
3,30,52.18699848,62.58527739,0.1,0.173956662,0.006555148
3,30,52.68168035,65.3806412,0.1,0.175605601,0.006847933
3,30,53.19029048,61.95180197,0.1,0.177300968,0.006488798
3,30,53.68919441,60.90088052,0.1,0.178963981,0.006378725
3,30,54.17987271,67.99314803,0.1,0.180599576,0.007121566
3,30,54.6736727,72.1512695,0.1,0.182245576,0.007557085
3,30,55.17855021,69.32642612,0.1,0.183928501,0.007261212
3,30,55.6787002,67.12647194,0.1,0.185595667,0.00703079
3,30,56.16928506,73.97335767,0.1,0.18723095,0.00774793
3,30,56.6607665,78.58803389,0.1,0.188869222,0.008231268
3,30,57.16518164,76.70049315,0.1,0.190550605,0.008033568
3,30,57.66937605,73.54759079,0.1,0.192231254,0.007703335
3,30,58.15706599,81.55092256,0.1,0.193856887,0.0085416
3,30,58.65161676,86.17513817,0.1,0.195505389,0.009025937
3,30,59.15478782,82.99039216,0.1,0.197182626,0.008692369
3,30,59.65475251,81.12496896,0.1,0.198849175,0.008496985
3,30,60.14502021,89.77648942,0.1,0.200483401,0.009403141
3,30,60.64170319,93.20936593,0.1,0.202139011,0.009762699
3,30,61.14555268,89.42805862,0.1,0.203818509,0.009366647
3,30,61.64639099,89.39389701,0.1,0.20548797,0.009363069
3,30,62.13264064,99.33109628,0.1,0.207108802,0.010403885
3,30,62.63328599,99.50678796,0.1,0.20877762,0.010422287
3,30,63.13693669,96.11989286,0.1,0.210456456,0.010067546
3,30,63.6318025,99.34231336,0.1,0.212106008,0.01040506
3,30,64.12206929,108.9335909,0.1,0.213740231,0.011409646
3,30,64.62733045,104.5601841,0.1,0.215424435,0.010951577
3,30,65.12761981,103.9448355,0.1,0.217092066,0.010887126
3,30,65.61968929,111.3541502,0.1,0.218732298,0.011663174
3,30,66.11397949,116.55502,0.1,0.220379932,0.01220791
3,30,66.62001553,110.2807893,0.1,0.222066718,0.01155075
3,30,67.11645782,114.2277018,0.1,0.223721526,0.011964148
3,30,67.60620073,123.9021197,0.1,0.225354002,0.012977441
3,30,68.11111503,120.3253648,0.1,0.22703705,0.012602814
3,30,68.61286711,119.0152979,0.1,0.228709557,0.012465598
3,30,69.10370582,127.4642056,0.1,0.230345686,0.013350532
3,30,69.59928439,131.514892,0.1,0.231997615,0.013774799
3,30,70.10339469,125.6040324,0.1,0.233677982,0.013155699
3,30,70.59813328,132.1774557,0.1,0.235327111,0.013844195
3,30,71.09174379,139.903954,0.1,0.236972479,0.014653465
3,30,71.59588816,135.1989251,0.1,0.238652961,0.014160662
3,30,72.09454108,136.2413718,0.1,0.240315137,0.014269848
3,30,72.58599023,146.3570629,0.1,0.241953301,0.01532936
3,30,73.0865047,145.53163,0.1,0.243621682,0.015242904
3,30,73.58965954,142.3113347,0.1,0.245298865,0.014905612
3,30,74.08038883,152.6775068,0.1,0.246934629,0.01599136
3,30,74.5774595,155.176317,0.1,0.248591532,0.016253084
3,30,75.08390741,149.8541682,0.1,0.250279691,0.015695645
3,30,75.5751498,158.3043813,0.1,0.251917166,0.016580716
3,30,76.07157526,163.9758173,0.1,0.253571918,0.017174739
3,30,76.57629065,158.3051856,0.1,0.255254302,0.0165808
3,30,77.07069283,164.4368155,0.1,0.256902309,0.017223023
3,30,77.56504761,172.4379845,0.1,0.258550159,0.018061061
3,30,78.06841215,167.449227,0.1,0.260228041,0.017538542
3,30,78.56491341,171.2885451,0.1,0.261883045,0.01794067
3,30,79.0607002,180.987452,0.1,0.263535667,0.018956528
3,30,79.56074399,176.0023787,0.1,0.26520248,0.018434394
3,30,80.05881146,178.6900246,0.1,0.266862705,0.018715897
3,30,80.55336996,189.0977465,0.1,0.268511233,0.019805996
3,30,81.05492225,184.8570164,0.1,0.270183074,0.019361824
3,30,81.5536213,186.0866895,0.1,0.271845404,0.019490619
3,30,82.04486151,197.91707,0.1,0.273482872,0.020729727
